"id","area","reference_requirement","status","current_evidence","code_pointer","acceptance_proof"
"V-01","可见性","选择冻结prompt-set并识别新基线","部分","以kbId/snapshotId输入；每KB只提供current pointer，不是历史选择","visibility-handler-deps.ts:36; visibility-handler.ts:123","选择的版本明确；集合/引擎/语言变动不混作同一基线"
"V-02","可见性","ChatGPT/Perplexity多引擎及独立状态","缺失","单ChatGPT模型/surface固定，无engines输入/byEngine","visibility-workflow-steps.ts:25; visibility-contract.ts:175","按实际适配器返回逐引擎状态；未支持不能渲染为完成"
"V-03","可见性","每题3/5/10样本和动态调用量费用","匹配","3/5/10默认5；按冻结题数计算","visibility-contract.ts:9; ai-visibility-check.tsx:1335","按真实题数和引擎数计算，不硬编码42或420"
"V-04","可见性","四指标mention/citation/prompt coverage/SOV","部分","问题级与样本级mention/citation、coverage数字有；SOV没有","visibility-contract.ts:124; ai-visibility-check.tsx:400","分别命名样本率/问题覆盖率；SOV用已确认品牌同场子集"
"V-05","可见性","分引擎表及五层均位次/样本","部分","五层mention/citation有；分引擎和平均位次无","ai-visibility-check.tsx:462; visibility-contract.ts:50","位次须有可解析推荐列表证据，否则unavailable"
"V-06","可见性","引用源按回答数/页面类型/本站在位","部分","域名/回答数/URL/own-competitor有；页面类型/本站在位缺","visibility-contract.ts:158; ai-visibility-check.tsx:509","URL级证据与域名聚合分开，第三方在位需实读"
"V-07","可见性","A/B/C/D及未归因缺口卡、站点索引与T2证据","缺失","report无gaps/actions；固定notAttribution","visibility-contract.ts:197; visibility-contract.ts:258","先有index/T2/样本证据再判；缺证据保留unattributed"
"V-08","可见性","A/D→Brief、B→T2、C→第三方待办","缺失","只有无参数相关工具链接","tool-handoff.ts:39; ai-visibility-check.tsx:870","点击交接冻结身份+question+run/evidence，C不能进入内容生成"
"V-09","可见性","同版本上次对比、CI与逐题变化","部分","服务端同hash上一轮+配对问题级统计有；非原型本地摘要","visibility-store.ts:182; visibility-contract.ts:208","保留较强server baseline；明确比较单位与同版本要求"
"V-10","可见性","运行JSON导出/两文件对比/Markdown待办","缺失","无下载/文件导入/待办export","ai-visibility-check.tsx:870","export-import roundtrip可验证版本与分母；文件不能伪装可信server run"
"V-11","可见性","Brief可追溯run/sample/excerpt evidence","缺失","summary不存sample原文/节选，无下游resolver","visibility-store.ts:608; brief-contract.ts:114","<=300字evidence存储/权限/保留策略需明确；不接受客户端计数冒充观测"
"C-01","可引用性","URL必填+提问选填、免登录、确定性且无模型调用","匹配","严格{url,question?}；question<=200字符；无模型调用","citability-handler.ts:125; page-citability-check.tsx:329","保持匿名和确定性无模型；未填题为不适用"
"C-02","可引用性","两组检查、状态、每项evidence/fix","部分","readable/extractable已有；14行、11counted、3advisory","citability-contract.ts:45; citability-rules.ts:787","按真实规则显示行数/分母；保留notApplicable/未知而非抄12"
"C-03","可引用性","真实render/raw SSR ratio","缺失","只抓raw HTML，不执行JS","citability-handler.ts:256; citability-contract.ts:179","实现真实有界raw/render取证与比率；实际失败时显示unavailable，但未实现renderer不能据此判完成"
"C-04","可引用性","共享根因总结并保留逐项修法","缺失","只有逐条检查，没有root-cause合并对象","page-citability-check.tsx:424","确定性关联依赖失败，不把多个结果统计为独立根因，不引入模型生成归因"
"C-05","可引用性","训练/检索/grounding语义准确","需修订语义","已有advisory区分，但Google-Extended被简单归training","citability-rules.ts:787; Google crawler docs","Google-Extended对Gemini grounding与Search不是同一结论"
"B-01","GEO Brief","gap A/B/D或manual入口，C拦截","缺失","仅冻结题/手填题，无gapType或上游run","brief-handler.ts:142; geo-brief.tsx:393","来源可验证；manual显式无run证据；C拒绝内容路径"
"B-02","GEO Brief","role+kb+promptset+run/excerpt版本锚","部分","JSON有kb/snapshot/revision/question/layer/role；缺run/gap/promptset，UI无origin","brief-contract.ts:103; geo-brief.tsx:486","首屏geo_origin与导出保留全部证据引用"
"B-03","GEO Brief","共享ContentBrief v1.1消费合同","不一致","GEO=marketing-geo-brief.v1，SEO=gengrowth.content_brief/v1","brief-contract.ts:8; packages/public-tools/src/content-brief/contract.ts:331","版本化兼容扩展producer/parser/Draft；不得只改schema字符串"
"B-04","GEO Brief","lead_answer冻结KB评分锚且进入Q1","不一致","requiredEntities来自KB；requirement通常model；未注入KB Q1","brief-contract.ts:59; brief-assemble.ts:218","KB直答要求进入不可变must-answer并参与Draft覆盖"
"B-05","GEO Brief","must_answer跨样本cluster/覆盖分子分母/来源","不一致","单样本最多8个结构片段+M新增；无cross-sample coverage","brief-subtopics.ts:86; brief-contract.ts:65","多样本证据统计不伪造4/5；KB条目/AI topic/model建议分开"
"B-06","GEO Brief","候选/展示/隐藏数量且问题清单不可悄改","缺失","未返回candidateCount/omittedCount；允许M新增","brief-subtopics.ts:86; brief-assemble.ts:55","候选全部计数；确认后的问题集不被outline生成改写"
"B-07","GEO Brief","fact_table value|null+reason+source+time","部分","flat facts/null reason有，人工sourceUrl会被标crawl","brief-contract.ts:214; geo-knowledge-base.tsx:1013","来源身份有凭证，UI/MD/JSON保留time与可信来源"
"B-08","GEO Brief","outline source=model、问题引用可覆盖核验","部分","Q/M结构/每节至少1引用；未保证每条Q被outline覆盖","brief-assemble.ts:123; geo-brief.tsx:530","KB Q1与所有确认问题都可追踪覆盖，不以标题存在代替覆盖"
"B-09","GEO Brief","verdict不可判定、length unavailable、site-index内链","缺失","没有这三个字段或site-index输入","brief-contract.ts:126","GEO不可借SERP/GSC假数据凑字段；内链来源需实际站点索引"
"B-10","GEO Brief","共用Content Draft+kb事实约束+源分流T2","缺失","Draft已存在但只解析SEO ledger与fingerprint；不认KB/AI sample","content-draft-handler.ts:265; content-draft-handler.ts:499; tool-handoff.ts:132","同一Draft两入口；KB facts可验证；AI sample永不做事实来源"
"B-11","GEO Brief","v1.1 JSON+上下文交接，复制/MD同源","部分","自有JSON/MD/Copy有；MD漏origin/market/fact time，未接Draft","brief-export.ts:62; content-brief-handoff.ts:57","显示/JSON/MD/handoff从同一模型派生、TTL/版本校验不漂移"
"B-12","GEO Brief","按gap/意图预选format：D→对比页，A→按意图层推断","缺失","GEO无format；现有SEO format只从SERP分布派生","reference-geo-product-ui.jsx.txt:540; brief-contract.ts:126; packages/public-tools/src/content-brief/contract.ts:379","明确GEO format来源/预选规则并传入共享Draft，不把GEO推断标成SERP观测"

